Time,CPU_0_Temp,CPU_1_Temp,Ambient_Temp0,Ambient_Temp1,Blower_Fan_0,Blower_Fan_1,Axial_Fan_0,Axial_Fan_1,HT0Scaled,HT1Scaled,HT2Scaled,cmiss_core0_scaled,cmiss_core1_scaled,cmiss_core2_scaled,cmiss_core3_scaled,ProcPwr,disk_read_kbytes,disk_write_kbytes
1350,89.13043478,86.2745098,89.18918919,87.5,97.84946237,97.84946237,74.3902439,72.56097561,47.61928889,2.881594767,4.760936678,6.422568496,3.352758749,0.223279505,0.555256965,0.891276321,0,2.906976744
1355,89.13043478,86.2745098,89.18918919,87.5,95.69892473,97.84946237,72.56097561,74.3902439,33.31233152,2.074805609,3.942870735,3.976206841,2.266316459,0.124043906,0.531376259,0.889987108,0,15.84302326
1360,91.30434783,86.2745098,89.18918919,87.5,97.84946237,97.84946237,74.3902439,74.3902439,22.78954745,1.457403454,2.944948616,3.121524715,1.950741117,0.114569714,0.173637935,0.889127632,0,0
1365,89.13043478,84.31372549,89.18918919,87.5,97.84946237,97.84946237,74.3902439,74.3902439,47.752806,2.6594455,4.274230407,6.337388245,3.41947731,0.22470268,0.17439126,0.889127632,0,0
1370,91.30434783,86.2745098,89.18918919,87.5,97.84946237,97.84946237,74.3902439,72.56097561,48.46216061,2.544377173,4.382891273,6.624295672,2.886235898,0.237523705,0.205728307,0.886549205,0,0
1375,91.30434783,84.31372549,89.18918919,87.5,97.84946237,97.84946237,74.3902439,72.56097561,48.18538393,2.576817081,4.717303307,5.132011831,2.060744747,0.250695187,0.297023739,0.886978943,0,2.325581395
1380,89.13043478,86.2745098,89.18918919,87.5,97.84946237,97.84946237,72.56097561,72.56097561,48.4859929,2.757552525,4.434864592,6.776619987,3.432456358,0.19747972,0.573863674,0.887408681,0,0.872093023
1385,89.13043478,86.2745098,89.18918919,87.5,97.84946237,100,74.3902439,74.3902439,48.09773302,3.20517855,6.147135807,4.707079808,2.133580615,0.25533355,0.712148502,0.887408681,0,8.139534884
1390,89.13043478,86.2745098,89.18918919,87.5,97.84946237,97.84946237,72.56097561,74.3902439,47.37261532,2.874559217,5.440395312,4.672243557,2.04364434,0.251348661,0.376557804,0.887408681,0,0
1395,91.30434783,84.31372549,89.18918919,87.5,97.84946237,97.84946237,74.3902439,72.56097561,48.35195974,2.573963314,4.71563537,5.281358209,1.651133347,0.262409693,0.301432993,0.887408681,0,1.162790698
1400,89.13043478,86.2745098,89.18918919,87.5,97.84946237,97.84946237,72.56097561,74.3902439,47.92138347,2.557649625,4.773735324,5.356101633,1.403765434,0.2686177,0.31991894,0.887838419,0,0
1405,89.13043478,86.2745098,89.18918919,87.5,97.84946237,97.84946237,74.3902439,74.3902439,25.59859859,0.726532999,1.433593508,0.868602579,0.347478121,0.046305361,0.090227981,0.888268156,0,1.162790698
1410,89.13043478,84.31372549,89.18918919,87.5,97.84946237,97.84946237,74.3902439,72.56097561,28.97609046,2.755941568,4.908960167,4.946185719,1.333799414,0.243353384,0.694650217,0.888697894,0,0.872093023
1415,89.13043478,86.2745098,89.18918919,87.5,97.84946237,97.84946237,74.3902439,72.56097561,48.83154544,3.077050993,6.02067156,5.129076034,1.96532771,0.261993415,0.688339678,0.887838419,0,11.62790698
1420,89.13043478,86.2745098,89.18918919,87.5,97.84946237,97.84946237,74.3902439,72.56097561,47.80977518,2.63891285,4.691002515,5.920125815,3.678044102,0.228313986,0.217609717,0.886119467,0,0
1425,89.13043478,86.2745098,89.18918919,87.5,97.84946237,100,72.56097561,74.3902439,48.31308371,2.574607862,4.155932411,6.711091314,3.546117425,0.218627503,0.158169603,0.886549205,0,0
1430,89.13043478,84.31372549,89.18918919,87.5,97.84946237,97.84946237,74.3902439,72.56097561,47.31445766,2.717669257,5.00921575,4.598637931,2.329269694,0.268498509,0.305598567,0.886549205,0,0
1435,89.13043478,86.2745098,89.18918919,87.5,95.69892473,97.84946237,72.56097561,72.56097561,48.23661396,2.569505544,4.622949847,5.146620582,1.880321962,0.240732371,0.323809924,0.886978943,0,0
1440,91.30434783,84.31372549,89.18918919,87.5,97.84946237,97.84946237,72.56097561,74.3902439,47.70313976,3.025260798,5.224295924,5.471257916,1.935830856,0.260152183,0.673447123,0.887408681,0,4.651162791
1445,89.13043478,86.2745098,89.18918919,87.5,97.84946237,97.84946237,72.56097561,72.56097561,47.84344376,3.312986016,5.936424184,6.522315358,3.246488078,0.250219609,0.545982723,0.887838419,0,12.20930233
1450,89.13043478,84.31372549,89.18918919,87.5,97.84946237,97.84946237,72.56097561,72.56097561,48.53073317,2.567318931,4.604598318,6.757151018,3.103168322,0.232087771,0.214850878,0.887838419,0,0
1455,91.30434783,84.31372549,89.18918919,87.5,97.84946237,97.84946237,74.3902439,72.56097561,12.9870333,0.604396499,1.255409888,1.160384272,0.170227274,0.032601374,0.099921296,0.887838419,0,0
1460,89.13043478,86.2745098,89.18918919,87.5,97.84946237,97.84946237,74.3902439,72.56097561,42.31019318,2.352081339,3.852335171,6.320939354,3.274657897,0.184299343,0.207738134,0.888697894,0,0
1465,89.13043478,86.2745098,89.18918919,87.5,97.84946237,97.84946237,74.3902439,74.3902439,47.91869374,2.610839378,4.743915855,5.185572567,2.30153143,0.249510394,0.290156832,0.887408681,0,0
1470,89.13043478,84.31372549,89.18918919,87.5,97.84946237,100,72.56097561,72.56097561,48.33699419,3.052623478,5.312688262,5.810588282,1.922862597,0.26645151,0.659632801,0.886549205,0,3.488372093
1475,89.13043478,86.2745098,89.18918919,87.5,97.84946237,97.84946237,74.3902439,72.56097561,48.16841671,3.193382499,5.795506816,6.366114105,3.22988396,0.232305991,0.579401479,0.886119467,0,8.86627907
1480,91.30434783,84.31372549,89.18918919,87.5,97.84946237,100,74.3902439,72.56097561,48.62542117,2.527421007,4.767759288,5.425184165,2.288217927,0.240689676,0.312759472,0.886549205,0,0
1485,89.13043478,84.31372549,89.18918919,87.5,97.84946237,97.84946237,72.56097561,72.56097561,47.82774322,2.676746463,4.309193198,6.859735348,3.001860546,0.243375325,0.153245672,0.886549205,0,0
1490,89.13043478,86.2745098,89.18918919,87.5,97.84946237,97.84946237,72.56097561,72.56097561,47.64435658,2.867984722,4.78906762,7.811692085,3.418765243,0.285702912,0.19772638,0.886978943,0,1.162790698
1495,89.13043478,86.2745098,89.18918919,87.5,97.84946237,97.84946237,74.3902439,74.3902439,47.79909444,2.596018486,4.366271827,5.998704035,3.271939094,0.222905329,0.20812486,0.887408681,0,0
1500,89.13043478,84.31372549,89.18918919,87.5,97.84946237,97.84946237,72.56097561,72.56097561,47.19604684,2.019307769,3.555565556,3.450853706,1.225273863,0.155601026,0.604707609,0.887838419,0,2.325581395
1505,89.13043478,86.2745098,89.18918919,87.5,97.84946237,100,72.56097561,72.56097561,8.707651947,1.974734134,4.070903004,2.778809053,1.279585188,0.139269503,0.538029676,0.887838419,0,17.5872093
1510,89.13043478,84.31372549,89.18918919,87.5,97.84946237,97.84946237,72.56097561,72.56097561,48.02919174,2.741885373,5.090734795,5.239624943,1.587230689,0.275597186,0.313964218,0.887838419,0,1.162790698
1515,89.13043478,84.31372549,89.18918919,87.5,97.84946237,97.84946237,74.3902439,72.56097561,47.81276203,2.63953413,4.39185909,6.157616335,2.654867925,0.213733561,0.247130301,0.885689729,0,0
