Time,CPU_0_Temp,CPU_1_Temp,Ambient_Temp0,Ambient_Temp1,Blower_Fan_0,Blower_Fan_1,Axial_Fan_0,Axial_Fan_1,HT0_CPU0_ALL,HT0_CPU1_ALL,HT0,HT1_CPU2_ALL,HT1_CPU3_ALL,HT1,HT2_CPU0_ALL,HT2_CPU1_ALL,HT2,$1$2missC0,$1$2missC1,$1$2missC2,$1$2missC3,Watts,Volts,Amps,InputDCPwr,AllPwrExtBd,ProcPwr,HT0Scaled,HT1Scaled,HT2Scaled,$miss_core0_scaled,$miss_core1_scaled,$miss_core2_scaled,$miss_core3_scaled
360,41,46,32,43,3567.2,3567.2,8662,8662,1528035,1528035,1528035,46038007,46037288,46037647.5,37908433,37900249,37904341,1797963,1466827,49275956,10466060,223.1,114.7,1.793,167.325,133.86,66.93,1.528035,46.0376475,37.904341,17.97963,14.66827,492.75956,104.6606
365,41,47,32,43,3567.2,3567.2,8662,8449,1511178,1511178,1511178,44674299,44663360,44668829.5,36937155,36950370,36943762.5,478801,3455108,5078779,51690565,223.1,114.7,1.789,167.325,133.86,66.93,1.511178,44.6688295,36.9437625,4.78801,34.55108,50.78779,516.90565
370,41,47,32,43,3567.2,3567.2,8662,8449,1519051,1519009,1519030,42810198,42827201,42818699.5,35416363,35406440,35411401.5,746378,765789,59761321,1855751,223.3,114.8,1.793,167.475,133.98,66.99,1.51903,42.8186995,35.4114015,7.46378,7.65789,597.61321,18.55751
375,41,46,32,43,3567.2,3567.2,8662,8449,1513567,1513609,1513588,42033298,42016349,42024823.5,40149879,40159820,40154849.5,460912,740547,58847712,771183,223.4,114.8,1.789,167.55,134.04,67.02,1.513588,42.0248235,40.1548495,4.60912,7.40547,588.47712,7.71183
380,41,47,32,43,3488.8,3567.2,8662,8449,1545383,1545383,1545383,46070824,46084522,46077673,37122610,37113153,37117881.5,3371999,443712,9990058,49351508,223.4,114.8,1.793,167.55,134.04,67.02,1.545383,46.077673,37.1178815,33.71999,4.43712,99.90058,493.51508
385,41,47,32,43,3567.2,3567.2,8662,8449,762616,762744,762680,31920862,31520048,31720455,31503449,31530764,31517106.5,1079211,54232,6824203,51835172,223.5,114.8,1.793,167.625,134.1,67.05,0.76268,31.720455,31.5171065,10.79211,0.54232,68.24203,518.35172
390,41,48,32,44,3567.2,3567.2,8662,8236,1004736,1004608,1004672,37153377,37555654,37354515.5,31852078,31831191,31841634.5,753885,406804,60258673,1802610,223.6,114.8,1.793,167.7,134.16,67.08,1.004672,37.3545155,31.8416345,7.53885,4.06804,602.58673,18.0261
395,41,47,32,44,3567.2,3567.2,8662,8449,1526087,1526087,1526087,39207518,39188349,39197933.5,32796872,32799772,32798322,596241,1878859,57606425,367649,223.5,114.7,1.798,167.625,134.1,67.05,1.526087,39.1979335,32.798322,5.96241,18.78859,576.06425,3.67649
400,41,47,32,44,3567.2,3567.2,8662,8449,1559215,1559215,1559215,39010106,39025032,39017569,33550476,33546476,33548476,1804842,669896,16025518,45113884,223.2,114.7,1.886,167.4,133.92,66.96,1.559215,39.017569,33.548476,18.04842,6.69896,160.25518,451.13884
405,41,47,32,44,3567.2,3567.2,8662,8662,1528527,1528527,1528527,41593641,41604089,41598865,39142639,39143150,39142894.5,512241,1495899,7008065,51686422,223.3,114.8,1.792,167.475,133.98,66.99,1.528527,41.598865,39.1428945,5.12241,14.95899,70.08065,516.86422
