 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr cd -- -- --   in   sy   cs us sy id
 0 0 0 6749160 7776412 136 1824 0 0 0 0  0  0  0  0  0  508 1506  285  0  3 97
 0 0 0 6748904 7776296 137 1824 0 0 0 0  0  0  0  0  0  521 1490  285  0  3 97
 0 0 0 6749076 7776368 137 1824 0 0 0 0  0  0  0  0  0  506 1506  283  0  3 97
 0 0 0 6749160 7776404 137 1825 0 1 1 0  0  1  0  0  0  510 1492  282  0  3 97
 0 0 0 6748876 7776268 137 1823 0 0 0 0  0  0  0  0  0  503 1502  276  0  3 97
 0 0 0 6749160 7776404 137 1825 0 0 0 0  0  0  0  0  0  499 1496  274  0  3 97
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr cd -- -- --   in   sy   cs us sy id
 0 0 0 6749116 7776396 137 1827 0 0 0 0  0  0  0  0  0  502 1509  283  0  3 97
 0 0 0 6749160 7776404 84 1005 0 0 0  0  0  0  0  0  0  461 1122  249  0  3 97
 0 0 0 6749160 7776404 53 818 0 0  0  0  0  0  0  0  0  471  910  240  0  1 99
 0 0 0 6748904 7776296 137 1823 0 1 1 0  0  1  0  0  0  502 1495  279  0  3 97
 0 0 0 6749088 7776384 137 1825 0 0 0 0  0  0  0  0  0  510 1517  289  0  3 97
 0 0 0 6749136 7776380 137 1826 0 0 0 0  0  0  0  0  0  512 1492  294  0  3 97
