pic0: pic0=NB_ht_bus0_bandwidth,umask=0x0f
pic1: pic1=NB_ht_bus1_bandwidth,umask=0x0f
pic2: pic2=NB_ht_bus2_bandwidth,umask=0x0f,sys
   time cpu event      pic0      pic1      pic2 
600.002   0  tick 4986624371         0 4986624361 
600.002   2  tick         0 4986645285         0 
600.002   3  tick         0 4986674891         0 
605.002   1  tick 4986686939         0 4986686945 
605.002   3  tick         0 4986650803         0 
605.002   0  tick 4986691197         0 4986691208 
605.002   2  tick         0 4986706002         0 
610.002   0  tick 4986654117         0 4986654109 
610.002   1  tick 4986661646         0 4986661646 
610.002   2  tick         0 4986639297         0 
610.002   3  tick         0 4986688134         0 
615.002   1  tick 4986696452         0 4986696451 
615.002   2  tick         0 4986700293         0 
615.002   3  tick         0 4986676880         0 
615.002   0  tick 4986715437         0 4986715440 
620.002   3  tick         0 4986635258         0 
620.002   2  tick         0 4986640110         0 
620.002   0  tick 4986645461         0 4986645460 
620.002   1  tick 4986664193         0 4986664196 
625.002   1  tick 4986670628         0 4986670626 
625.002   2  tick         0 4986692642         0 
625.002   3  tick         0 4986702397         0 
625.002   0  tick 4986690852         0 4986690853 
630.002   3  tick         0 4986666319         0 
630.002   1  tick 4986679215         0 4986679210 
630.002   0  tick 4986678426         0 4986678426 
630.002   2  tick         0 4986690572         0 
635.002   3  tick         0 4986641734         0 
635.002   2  tick         0 4986621942         0 
635.002   0  tick 4986633501         0 4986633504 
635.002   1  tick 4986660611         0 4986660617 
640.002   1  tick 4986671002         0 4986670998 
640.002   2  tick         0 4986702775         0 
640.002   3  tick         0 4986701501         0 
640.002   0  tick 4986699914         0 4986699916 
645.002   1  tick 4986654453         0 4986654456 
645.002   3  tick         0 4986648939         0 
645.002   0  tick 4986642771         0 4986642769 
645.002   2  tick         0 4986673447         0 
650.002   1  tick 4986661474         0 4986661470 
650.002   2  tick         0 4986641939         0 
650.002   0  tick 4986670800         0 4986670794 
650.002   3  tick         0 4986691535         0 
655.002   1  tick 4986698534         0 4986698538 
655.002   2  tick         0 4986698036         0 
655.002   3  tick         0 4986674245         0 
655.002   0  tick 4986702005         0 4986702007 
660.002   1  tick 4986673719         0 4986673719 
660.002   3  tick         0 4986669464         0 
660.002   2  tick         0 4986673994         0 
660.002   0  tick 4986671763         0 4986671767 
665.002   1  tick 4986677123         0 4986677125 
665.002   3  tick         0 4986673797         0 
665.002   2  tick         0 4986672391         0 
