time,offcore_req,l2_cache_miss,offcore_req_scaled,l2_cache_miss_scaled,Temp0,Temp1,Temp2,Ambient_Temp0,Temp3,Ambient_Temp1,Ambient_Temp2,Planar_Temp,Temp4,Temp5,Temp6,FAN_MOD_1A_RPM,FAN_MOD_2A_RPM,FAN_MOD_3A_RPM,FAN_MOD_4A_RPM,FAN_MOD_5A_RPM,FAN_MOD_6A_RPM,FAN_MOD_1B_RPM,FAN_MOD_2B_RPM,FAN_MOD_3B_RPM,FAN_MOD_4B_RPM,FAN_MOD_5B_RPM,FAN_MOD_6B_RPM,Watts,InputDCPwr,AllPwrExtBd,ProcPwrUnc,ProcPwr,disk_read_kbytes,disk_write_kbytes
890,468322028,234573837,468.322028,234.573837,57,47,39,30,36,28,17,39,28,37,43,4440,4320,4440,4440,4440,4560,3120,3120,3120,3000,3120,3000,1586,1268.8,951.6,47.58,47.58,0,0
900,15255278,10997764,15.255278,10.997764,56,47,38,30,37,27,17,39,29,37,43,4440,4320,4440,4440,4440,4560,3120,3120,3120,3000,3120,3000,1767,1413.6,1060.2,53.01,53.01,0,0
910,25824201,17141743,25.824201,17.141743,57,47,38,30,36,28,17,39,28,37,43,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1650,1320,990,49.5,49.5,0,39.8
920,476217905,239262503,476.217905,239.262503,55,47,38,30,36,28,17,39,29,37,43,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1645,1316,987,49.35,49.35,0,0
930,469548063,235078249,469.548063,235.078249,52,47,38,30,36,28,17,39,29,37,43,4440,4320,4440,4440,4440,4560,3120,3120,3120,3000,3120,3000,1648,1318.4,988.8,49.44,49.44,0,0
940,467794831,233324061,467.794831,233.324061,57,47,38,30,37,28,17,39,29,37,43,4440,4320,4440,4440,4440,4560,3120,3120,3120,3000,3120,3000,1681,1344.8,1008.6,50.43,50.43,0,40
950,363452381,180224262,363.452381,180.224262,57,47,38,30,37,28,17,39,28,37,43,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1583,1266.4,949.8,47.49,47.49,0,0
960,134140665,67145300,134.140665,67.1453,52,53,38,30,36,28,17,39,29,37,43,4440,4320,4440,4440,4440,4560,3120,3120,3120,3000,3120,3120,1720,1376,1032,51.6,51.6,0,0
970,1074326663,547305592,1074.326663,547.305592,49,48,38,30,36,28,17,39,29,37,43,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,2343,1874.4,1405.8,70.29,70.29,0,56.5
980,305234926,155300704,305.234926,155.300704,49,46,39,30,36,28,17,39,30,37,43,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,2324,1859.2,1394.4,69.72,69.72,0,0
990,804007155,407712830,804.007155,407.71283,48,45,39,30,36,28,17,39,30,37,43,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,2224,1779.2,1334.4,66.72,66.72,0,0
1000,1013110199,516019207,1013.110199,516.019207,48,45,39,30,37,28,17,39,31,38,43,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3120,2400,1920,1440,72,72,0,312.4
1010,1260792912,641585332,1260.792912,641.585332,48,44,39,30,37,28,17,39,31,38,43,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,2396,1916.8,1437.6,71.88,71.88,0,0
1020,1390148971,708428279,1390.148971,708.428279,46,44,39,31,37,28,17,39,32,38,43,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,2380,1904,1428,71.4,71.4,0,0
1030,1082345272,550259284,1082.345272,550.259284,45,45,39,31,37,28,17,39,32,38,43,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,2386,1908.8,1431.6,71.58,71.58,0,41
1040,1105709423,561936342,1105.709423,561.936342,45,44,39,31,37,28,17,39,33,38,43,4440,4320,4440,4440,4440,4560,3120,3120,3120,3000,3120,3000,2388,1910.4,1432.8,71.64,71.64,0,0
1050,1308775725,665363213,1308.775725,665.363213,45,43,39,31,37,28,17,39,33,38,43,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,2387,1909.6,1432.2,71.61,71.61,0,0
1060,937152597,477113728,937.152597,477.113728,43,43,40,31,37,28,17,39,34,39,43,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,2387,1909.6,1432.2,71.61,71.61,0,41.1
1070,1297340926,658973856,1297.340926,658.973856,43,43,39,31,37,28,17,39,34,39,43,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,2393,1914.4,1435.8,71.79,71.79,0,0
1080,947778777,484400144,947.778777,484.400144,43,42,40,32,37,28,17,39,34,39,43,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,2389,1911.2,1433.4,71.67,71.67,0,0
1090,1249188956,635485908,1249.188956,635.485908,42,42,40,32,37,28,17,39,34,39,42,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,2498,1998.4,1498.8,74.94,74.94,0,40.7
1100,1513435654,767724223,1513.435654,767.724223,42,42,40,32,37,28,17,39,35,39,42,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,2415,1932,1449,72.45,72.45,0,0
1110,1253236507,638569250,1253.236507,638.56925,42,41,40,32,37,28,17,39,35,39,42,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,2259,1807.2,1355.4,67.77,67.77,0,0
1120,471201104,242171486,471.201104,242.171486,43,47,40,32,37,28,17,39,35,39,42,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,2236,1788.8,1341.6,67.08,67.08,0,41.2
1130,39046745,25718179,39.046745,25.718179,44,49,40,33,37,28,17,39,35,39,42,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1553,1242.4,931.8,46.59,46.59,0,0
1140,8995803,6343440,8.995803,6.34344,46,50,40,33,37,28,17,40,35,38,42,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1382,1105.6,829.2,41.46,41.46,0,0
1150,23218021,16009540,23.218021,16.00954,45,50,40,32,37,28,17,40,34,38,42,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1497,1197.6,898.2,44.91,44.91,0,75.6
1160,22168760,15392827,22.16876,15.392827,46,51,40,32,37,28,17,40,34,37,42,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1375,1100,825,41.25,41.25,0,0
